Начало простоя,Длительность,Название детали,Поломка
2020-01-08 02:04:44,4,Дроссели - №17,1
2020-01-09 02:04:44,0,Нет поломки,0
2020-01-10 02:04:44,0,Нет поломки,0
2020-01-11 02:04:44,0,Нет поломки,0
2020-01-12 02:04:44,0,Нет поломки,0
2020-01-13 02:04:44,0,Нет поломки,0
2020-01-14 02:04:44,0,Нет поломки,0
2020-01-15 02:04:44,0,Нет поломки,0
2020-01-16 02:04:44,0,Нет поломки,0
2020-01-17 02:04:44,0,Нет поломки,0
2020-01-18 02:04:44,0,Нет поломки,0
2020-01-19 02:04:44,0,Нет поломки,0
2020-01-20 02:04:44,0,Нет поломки,0
2020-01-21 02:04:44,0,Нет поломки,0
2020-01-22 02:04:44,0,Нет поломки,0
2020-01-23 02:04:44,0,Нет поломки,0
2020-01-24 02:04:44,0,Нет поломки,0
2020-01-25 02:04:44,0,Нет поломки,0
2020-01-26 02:04:44,0,Нет поломки,0
2020-01-27 02:04:44,0,Нет поломки,0
2020-01-28 09:11:45,9,Ролик - №1,1
2020-01-29 09:11:45,0,Нет поломки,0
2020-01-30 09:11:45,0,Нет поломки,0
2020-01-31 09:11:45,0,Нет поломки,0
2020-02-01 09:11:45,0,Нет поломки,0
2020-02-02 09:11:45,0,Нет поломки,0
2020-02-03 09:11:45,0,Нет поломки,0
2020-02-04 09:11:45,0,Нет поломки,0
2020-02-05 10:40:01,2,Дроссель - №89,1
2020-02-06 10:59:58,4,Дроссель - №105,1
2020-02-06 19:02:48,2,Тормозная пластина - №76,1
2020-02-08 04:00:32,7,Пластина и дроссель -,1
2020-02-09 04:00:32,0,Нет поломки,0
2020-02-10 04:00:32,0,Нет поломки,0
2020-02-11 04:00:32,0,Нет поломки,0
2020-02-12 04:00:32,0,Нет поломки,0
2020-02-13 04:00:32,0,Нет поломки,0
2020-02-14 04:00:32,0,Нет поломки,0
2020-02-15 04:00:32,0,Нет поломки,0
2020-02-16 04:00:32,0,Нет поломки,0
2020-02-17 04:00:32,0,Нет поломки,0
2020-02-18 04:00:32,0,Нет поломки,0
2020-02-19 04:00:32,0,Нет поломки,0
2020-02-20 04:00:32,0,Нет поломки,0
2020-02-21 04:00:32,0,Нет поломки,0
2020-02-22 04:00:32,0,Нет поломки,0
2020-02-23 04:00:32,0,Нет поломки,0
2020-02-24 04:00:32,0,Нет поломки,0
2020-02-25 04:00:32,0,Нет поломки,0
2020-02-26 04:00:32,0,Нет поломки,0
2020-02-27 04:35:28,2,-,1
2020-02-28 20:47:37,4,Тормозная пластина - №93,1
2020-02-28 21:27:07,4,Тормозная пластина - №66,1
2020-02-29 21:27:07,0,Нет поломки,0
2020-03-01 21:27:07,0,Нет поломки,0
2020-03-02 21:27:07,0,Нет поломки,0
2020-03-04 03:57:44,3,Дроссели - №52,1
2020-03-05 03:57:44,0,Нет поломки,0
2020-03-06 03:57:44,0,Нет поломки,0
2020-03-07 03:57:44,0,Нет поломки,0
2020-03-08 03:57:44,0,Нет поломки,0
2020-03-09 03:57:44,0,Нет поломки,0
2020-03-10 03:57:44,0,Нет поломки,0
2020-03-11 03:57:44,0,Нет поломки,0
2020-03-12 03:57:44,0,Нет поломки,0
2020-03-13 03:57:44,0,Нет поломки,0
2020-03-14 03:57:44,0,Нет поломки,0
2020-03-15 03:57:44,0,Нет поломки,0
2020-03-16 10:26:16,7,Дроссели - №98,1
2020-03-16 10:54:31,4,Тормозная пластина - №98,1
2020-03-17 10:54:31,0,Нет поломки,0
2020-03-18 10:54:31,0,Нет поломки,0
2020-03-19 10:54:31,0,Нет поломки,0
2020-03-20 10:54:31,0,Нет поломки,0
2020-03-21 10:54:31,0,Нет поломки,0
2020-03-22 10:54:31,0,Нет поломки,0
2020-03-24 09:55:33,4,Прижимной колпак - №105,1
2020-03-24 10:33:28,5,Дроссели - №105,1
2020-03-24 10:52:25,4,Тормозная пластина - №105,1
2020-03-25 09:07:01,5,Дроссели - №93,1
2020-03-26 09:07:01,0,Нет поломки,0
2020-03-27 09:07:01,0,Нет поломки,0
2020-03-28 09:07:01,0,Нет поломки,0
2020-03-30 02:34:05,7,Дроссель - №72,1
2020-04-01 00:53:40,5,Тормозная пластина - №93,1
2020-04-02 00:53:40,0,Нет поломки,0
2020-04-03 00:53:40,0,Нет поломки,0
2020-04-04 00:53:40,0,Нет поломки,0
2020-04-05 00:53:40,0,Нет поломки,0
2020-04-06 00:53:40,0,Нет поломки,0
2020-04-07 00:53:40,0,Нет поломки,0
2020-04-08 21:31:21,6,Домино -,1
2020-04-08 22:11:07,3,Тормозная пластина - №101,1
2020-04-08 22:28:07,5,Дроссель - №101,1
2020-04-08 22:43:19,6,Прижимной колокол - №101,1
2020-04-09 02:50:17,4,Прижимной колокол - №99,1
2020-04-10 02:50:17,0,Нет поломки,0
2020-04-11 02:50:17,0,Нет поломки,0
2020-04-12 02:50:17,0,Нет поломки,0
2020-04-13 02:50:17,0,Нет поломки,0
2020-04-14 02:50:17,0,Нет поломки,0
2020-04-15 02:50:17,0,Нет поломки,0
2020-04-16 02:50:17,0,Нет поломки,0
2020-04-17 02:50:17,0,Нет поломки,0
2020-04-18 18:41:17,7,"Тормозные пластины - №41, 48",1
2020-04-19 18:41:17,0,Нет поломки,0
2020-04-20 18:41:17,0,Нет поломки,0
2020-04-21 18:41:17,0,Нет поломки,0
2020-04-22 18:41:17,0,Нет поломки,0
2020-04-23 18:41:17,0,Нет поломки,0
2020-04-24 18:41:17,0,Нет поломки,0
2020-04-25 18:41:17,0,Нет поломки,0
2020-04-26 18:41:17,0,Нет поломки,0
2020-04-27 18:41:17,0,Нет поломки,0
2020-04-28 18:41:17,0,Нет поломки,0
2020-04-30 00:26:13,3,Прижимная резинка - №70,1
2020-04-30 00:31:48,2,Дроссель - №50,1
2020-04-30 00:35:26,6,Тормозная пластина - №50,1
2020-04-30 01:23:52,3,Тормозная пластина - №41,1
2020-05-01 01:23:52,0,Нет поломки,0
2020-05-02 01:23:52,0,Нет поломки,0
2020-05-03 01:23:52,0,Нет поломки,0
2020-05-04 01:23:52,0,Нет поломки,0
2020-05-05 01:23:52,0,Нет поломки,0
2020-05-06 01:23:52,0,Нет поломки,0
2020-05-07 10:42:51,5,Тормозная пластина -,1
2020-05-07 10:53:56,5,Дроссель и уплотнительная резина - №106,1
2020-05-07 23:01:49,3,Дроссели - №80,1
2020-05-08 03:45:27,4,Прижимной колпак - №80,1
2020-05-09 03:45:27,0,Нет поломки,0
2020-05-10 03:45:27,0,Нет поломки,0
2020-05-11 03:45:27,0,Нет поломки,0
2020-05-12 03:45:27,0,Нет поломки,0
2020-05-13 03:45:27,0,Нет поломки,0
2020-05-14 23:06:22,5,-,1
2020-05-16 14:11:27,2,Тормозная пластина - №21,1
2020-05-17 14:11:27,0,Нет поломки,0
2020-05-18 14:11:27,0,Нет поломки,0
2020-05-19 14:11:27,0,Нет поломки,0
2020-05-20 14:11:27,0,Нет поломки,0
2020-05-21 14:11:27,0,Нет поломки,0
2020-05-22 14:11:27,0,Нет поломки,0
2020-05-23 20:12:35,5,Тормозная пластина - №35,1
2020-05-24 20:12:35,0,Нет поломки,0
2020-05-25 20:12:35,0,Нет поломки,0
2020-05-26 20:12:35,0,Нет поломки,0
2020-05-27 20:12:35,0,Нет поломки,0
2020-05-28 20:12:35,0,Нет поломки,0
2020-05-29 20:12:35,0,Нет поломки,0
2020-05-30 20:12:35,0,Нет поломки,0
2020-05-31 20:12:35,0,Нет поломки,0
2020-06-01 20:12:35,0,Нет поломки,0
2020-06-02 20:12:35,0,Нет поломки,0
2020-06-03 20:12:35,0,Нет поломки,0
2020-06-05 05:54:41,5,Тормозная пластина -,1
2020-06-05 16:25:02,3,Дроссели - №48,1
2020-06-06 16:25:02,0,Нет поломки,0
2020-06-08 00:24:08,4,"Дроссели - №37, 55",1
2020-06-08 00:32:55,3,Дроссель - №37,1
2020-06-08 02:20:20,5,Тормозная пластина - №41,1
2020-06-09 02:20:20,0,Нет поломки,0
2020-06-10 02:20:20,0,Нет поломки,0
2020-06-11 02:20:20,0,Нет поломки,0
2020-06-13 00:52:15,3,Тормозная пластина и дроссель - №55,1
2020-06-14 00:52:15,0,Нет поломки,0
2020-06-15 00:52:15,0,Нет поломки,0
2020-06-16 00:52:15,0,Нет поломки,0
2020-06-17 00:52:15,0,Нет поломки,0
2020-06-19 00:46:01,6,Дроссель - №81,1
2020-06-20 00:46:01,0,Нет поломки,0
2020-06-21 00:46:01,0,Нет поломки,0
2020-06-22 00:46:01,0,Нет поломки,0
2020-06-23 00:46:01,0,Нет поломки,0
2020-06-24 00:46:01,0,Нет поломки,0
2020-06-25 00:46:01,0,Нет поломки,0
2020-06-26 04:30:41,7,Наполнитель -,1
2020-06-27 04:30:41,0,Нет поломки,0
2020-06-28 04:30:41,0,Нет поломки,0
2020-06-29 04:30:41,0,Нет поломки,0
2020-06-30 04:30:41,0,Нет поломки,0
2020-07-01 18:29:35,3,Дроссель - №100,1
2020-07-02 18:29:35,0,Нет поломки,0
2020-07-03 18:29:35,0,Нет поломки,0
2020-07-04 18:29:35,0,Нет поломки,0
2020-07-05 18:29:35,0,Нет поломки,0
2020-07-06 18:29:35,0,Нет поломки,0
2020-07-07 18:29:35,0,Нет поломки,0
2020-07-08 18:29:35,0,Нет поломки,0
2020-07-09 21:48:40,5,"Тормозные пластины - №73, 61",1
2020-07-09 21:58:07,3,Тормозная пластина - №48,1
2020-07-09 23:09:13,6,"Дроссели - №61, 73",1
2020-07-09 23:37:33,3,Дроссель - №42,1
2020-07-09 23:45:33,3,Дроссели - №48,1
2020-07-10 05:04:49,3,Дроссели - №14,1
2020-07-10 05:44:58,4,Тормозная пластина - №14,1
2020-07-10 05:48:52,4,Прижимной колпак - №73,1
2020-07-10 06:43:40,3,Прижимной колпак - №14,1
2020-07-11 08:24:43,5,"Тормозная пластина и дроссели - №90, 73",1
2020-07-13 03:05:58,3,Дроссель нагрузки - №42,1
2020-07-14 04:58:52,11,Датчик уровня котла -,1
2020-07-15 04:58:52,0,Нет поломки,0
2020-07-16 04:58:52,0,Нет поломки,0
2020-07-17 04:58:52,0,Нет поломки,0
2020-07-18 04:58:52,0,Нет поломки,0
2020-07-19 07:51:53,2,Кран - №22,1
2020-07-19 13:08:26,4,"Сбросные дроссели - №47, 54",1
2020-07-20 13:08:26,0,Нет поломки,0
2020-07-22 03:16:13,2,"Сбросной дроссель - №108, 12",1
2020-07-22 03:21:13,4,"Сбросной дроссель - №108, 12",1
2020-07-22 04:39:07,3,Сбросной дроссель - №96,1
2020-07-22 14:52:56,6,Кран - №69,1
2020-07-23 14:52:56,0,Нет поломки,0
2020-07-24 14:52:56,0,Нет поломки,0
2020-07-25 14:52:56,0,Нет поломки,0
2020-07-26 14:52:56,0,Нет поломки,0
2020-07-27 14:52:56,0,Нет поломки,0
2020-07-29 04:30:36,6,Дроссель нагрузки - №104,1
2020-07-29 04:37:20,6,Пластина и феродо - №104,1
2020-07-30 04:37:20,0,Нет поломки,0
2020-07-31 04:37:20,0,Нет поломки,0
2020-08-01 04:37:20,0,Нет поломки,0
2020-08-02 04:37:20,0,Нет поломки,0
2020-08-03 04:37:20,0,Нет поломки,0
2020-08-04 04:37:20,0,Нет поломки,0
2020-08-05 04:37:20,0,Нет поломки,0
2020-08-06 04:37:20,0,Нет поломки,0
2020-08-07 04:37:20,0,Нет поломки,0
2020-08-08 04:37:20,0,Нет поломки,0
2020-08-09 04:37:20,0,Нет поломки,0
2020-08-11 00:33:56,4,"Дроссели - №82, 53",1
2020-08-11 00:48:37,4,"Дроссели - №12, 100",1
2020-08-11 01:15:06,3,"Дроссели - №85, 9",1
2020-08-11 06:11:02,4,Тормозная пластина - №20,1
2020-08-11 07:44:55,2,Нагнетательный дроссель - №52,1
2020-08-11 22:27:35,4,Дроссели - №73,1
2020-08-12 06:10:47,3,Дроссели - №49,1
2020-08-13 06:10:47,0,Нет поломки,0
2020-08-14 09:54:50,4,Тормозная пластина - №102,1
2020-08-15 09:54:50,0,Нет поломки,0
2020-08-16 11:28:54,3,Прижимной колпак - №73,1
2020-08-16 18:10:50,4,Нагнетательный дроссель - №100,1
2020-08-16 18:17:29,4,Сбросной дроссель - №100,1
2020-08-16 18:23:10,2,Тормозная пластина - №100,1
2020-08-16 18:26:24,4,Прижимная резинка - №100,1
2020-08-16 18:32:48,6,Прижимной колпак - №100,1
2020-08-16 19:05:09,3,Дроссели - №107,1
2020-08-18 06:01:51,7,-,1
2020-08-19 06:01:51,0,Нет поломки,0
2020-08-20 06:01:51,0,Нет поломки,0
2020-08-21 06:01:51,0,Нет поломки,0
2020-08-22 06:01:51,0,Нет поломки,0
2020-08-23 06:01:51,0,Нет поломки,0
2020-08-24 06:01:51,0,Нет поломки,0
2020-08-25 06:01:51,0,Нет поломки,0
2020-08-26 06:01:51,0,Нет поломки,0
2020-08-27 06:01:51,0,Нет поломки,0
2020-08-28 06:01:51,0,Нет поломки,0
2020-08-29 16:53:58,3,Дроссель CO2 - №44,1
2020-08-29 18:19:04,8,-,1
2020-08-30 18:19:04,0,Нет поломки,0
2020-08-31 18:19:04,0,Нет поломки,0
2020-09-02 04:19:26,7,-,1
2020-09-03 04:19:26,0,Нет поломки,0
2020-09-04 04:19:26,0,Нет поломки,0
2020-09-05 04:19:26,0,Нет поломки,0
2020-09-06 04:19:26,0,Нет поломки,0
2020-09-07 04:19:26,0,Нет поломки,0
2020-09-08 04:19:26,0,Нет поломки,0
2020-09-09 04:19:26,0,Нет поломки,0
2020-09-10 04:19:26,0,Нет поломки,0
2020-09-11 04:19:26,0,Нет поломки,0
2020-09-12 04:19:26,0,Нет поломки,0
2020-09-13 04:19:26,0,Нет поломки,0
2020-09-14 16:04:34,3,Дроссель CO2 - №53,1
2020-09-14 16:08:33,2,Дроссель CO2 - №53,1
2020-09-14 16:32:19,3,-,1
2020-09-14 16:38:31,5,-,1
2020-09-14 16:50:30,4,-,1
2020-09-14 17:01:13,6,-,1
2020-09-15 22:28:56,5,Уплотнительная резина на прижимном стакане - №51,1
2020-09-16 00:16:44,2,Тормозная пластина - №38,1
2020-09-17 09:14:14,5,Дроссели - №58,1
2020-09-18 09:14:14,0,Нет поломки,0
2020-09-19 09:14:14,0,Нет поломки,0
2020-09-20 09:14:14,0,Нет поломки,0
2020-09-21 09:14:14,0,Нет поломки,0
2020-09-22 09:14:14,0,Нет поломки,0
2020-09-23 09:14:14,0,Нет поломки,0
2020-09-24 10:42:48,19,-,1
2020-09-24 11:19:55,7,Датчик -,1
2020-09-24 12:46:26,38,Датчик -,1
2020-09-24 22:28:34,3,Углекислотный дроссель нагнетания - №44,1
2020-09-25 02:27:41,3,Датчик -,1
2020-09-26 02:27:41,0,Нет поломки,0
2020-09-27 02:27:41,0,Нет поломки,0
2020-09-28 02:27:41,0,Нет поломки,0
2020-09-29 02:27:41,0,Нет поломки,0
2020-09-30 03:59:25,8,-,1
2020-09-30 17:47:33,13,-,1
2020-10-02 14:14:31,4,Дроссели - №36,1
2020-10-02 14:38:24,3,Дроссели - №37,1
2020-10-03 14:38:24,0,Нет поломки,0
2020-10-04 14:38:24,0,Нет поломки,0
2020-10-05 14:38:24,0,Нет поломки,0
2020-10-06 14:38:24,0,Нет поломки,0
2020-10-08 00:48:59,3,Дроссель нагрузки - №108,1
2020-10-08 13:56:16,7,-,1
2020-10-09 13:56:16,0,Нет поломки,0
2020-10-10 13:56:16,0,Нет поломки,0
2020-10-11 13:56:16,0,Нет поломки,0
2020-10-12 14:27:50,5,Дроссель нагрузки - №95,1
2020-10-13 14:27:50,0,Нет поломки,0
2020-10-14 14:27:50,0,Нет поломки,0
2020-10-15 14:27:50,0,Нет поломки,0
2020-10-16 14:27:50,0,Нет поломки,0
2020-10-17 14:27:50,0,Нет поломки,0
2020-10-18 14:27:50,0,Нет поломки,0
2020-10-19 15:17:07,3,Дроссели - №81,1
2020-10-19 17:32:57,4,Дроссели - №66,1
2020-10-19 17:43:17,4,Дроссели - №106,1
2020-10-19 17:57:50,6,"Тормозные пластины - №81, 106",1
2020-10-19 18:14:46,6,-,1
2020-10-20 01:05:17,5,Тормозная пластина - №63,1
2020-10-21 03:07:25,5,Тормозная пластина - №93,1
2020-10-21 05:05:05,5,Тормозная пластина - №82,1
2020-10-22 05:05:05,0,Нет поломки,0
2020-10-23 05:05:05,0,Нет поломки,0
2020-10-24 05:05:05,0,Нет поломки,0
2020-10-25 05:05:05,0,Нет поломки,0
2020-10-26 05:05:05,0,Нет поломки,0
2020-10-27 05:05:05,0,Нет поломки,0
2020-10-28 05:05:05,0,Нет поломки,0
2020-10-29 05:05:05,0,Нет поломки,0
2020-10-30 05:05:05,0,Нет поломки,0
2020-10-31 05:05:05,0,Нет поломки,0
2020-11-01 05:05:05,0,Нет поломки,0
2020-11-02 05:05:05,0,Нет поломки,0
2020-11-03 05:05:05,0,Нет поломки,0
2020-11-04 05:05:05,0,Нет поломки,0
2020-11-05 05:05:05,0,Нет поломки,0
2020-11-06 05:05:05,0,Нет поломки,0
2020-11-07 05:05:05,0,Нет поломки,0
2020-11-08 05:05:05,0,Нет поломки,0
2020-11-09 05:05:05,0,Нет поломки,0
2020-11-10 05:05:05,0,Нет поломки,0
2020-11-11 05:05:05,0,Нет поломки,0
2020-11-12 05:05:05,0,Нет поломки,0
2020-11-13 05:05:05,0,Нет поломки,0
2020-11-14 15:50:41,7,Датчик -,1
2020-11-15 15:50:41,0,Нет поломки,0
2020-11-16 15:50:41,0,Нет поломки,0
2020-11-17 15:50:41,0,Нет поломки,0
2020-11-18 15:50:41,0,Нет поломки,0
2020-11-19 15:50:41,0,Нет поломки,0
2020-11-20 15:50:41,0,Нет поломки,0
2020-11-21 15:50:41,0,Нет поломки,0
2020-11-22 15:50:41,0,Нет поломки,0
2020-11-23 15:50:41,0,Нет поломки,0
2020-11-24 15:50:41,0,Нет поломки,0
2020-11-25 15:50:41,0,Нет поломки,0
2020-11-26 15:50:41,0,Нет поломки,0
2020-11-27 15:50:41,0,Нет поломки,0
2020-11-28 15:50:41,0,Нет поломки,0
2020-11-29 15:50:41,0,Нет поломки,0
2020-11-30 15:50:41,0,Нет поломки,0
2020-12-01 15:50:41,0,Нет поломки,0
2020-12-02 15:50:41,0,Нет поломки,0
2020-12-03 15:50:41,0,Нет поломки,0
2020-12-04 15:50:41,0,Нет поломки,0
2020-12-05 15:50:41,0,Нет поломки,0
2020-12-06 15:50:41,0,Нет поломки,0
2020-12-07 15:50:41,0,Нет поломки,0
2020-12-08 15:50:41,0,Нет поломки,0
2020-12-09 15:50:41,0,Нет поломки,0
2020-12-10 15:50:41,0,Нет поломки,0
2020-12-11 15:50:41,0,Нет поломки,0
2020-12-12 15:50:41,0,Нет поломки,0
2020-12-14 14:27:43,4,"Сбросные дроссели - №84, 86",1
2020-12-15 14:27:43,0,Нет поломки,0
2020-12-17 00:40:09,6,"Сбросные дроссели - №38, 96, 106, 107",1
2020-12-17 08:22:54,3,Сбросной дроссель - №41,1
2020-12-17 19:45:05,3,Углекислотный дроссель - №10,1
2020-12-18 19:45:05,0,Нет поломки,0
2020-12-19 19:45:05,0,Нет поломки,0
2020-12-20 19:45:05,0,Нет поломки,0
2020-12-22 11:45:06,3,Нагнетательный дроссель - №39,1
2020-12-23 11:45:06,0,Нет поломки,0
2020-12-24 22:28:08,3,Тормозная пластина - №73,1
2020-12-24 22:53:20,3,Дроссели - №73,1
2020-12-25 22:53:20,0,Нет поломки,0
2020-12-26 22:53:20,0,Нет поломки,0
2020-12-28 20:46:55,3,"Сбросные углекислотные дроссели - №96, 100",1
2020-12-29 20:46:55,0,Нет поломки,0
2020-12-30 20:46:55,0,Нет поломки,0
2020-12-31 20:46:55,0,Нет поломки,0
2021-01-01 20:46:55,0,Нет поломки,0
2021-01-02 20:46:55,0,Нет поломки,0
2021-01-03 20:46:55,0,Нет поломки,0
2021-01-04 20:46:55,0,Нет поломки,0
2021-01-06 17:49:48,4,Нагнетательный дроссель - №86,1
2021-01-07 14:47:19,2,Нагнетательный дроссель - №75,1
2021-01-08 14:47:19,0,Нет поломки,0
2021-01-09 14:47:19,0,Нет поломки,0
2021-01-10 14:47:19,0,Нет поломки,0
2021-01-11 14:47:19,0,Нет поломки,0
2021-01-12 14:47:19,0,Нет поломки,0
2021-01-13 14:47:19,0,Нет поломки,0
2021-01-14 14:47:19,0,Нет поломки,0
2021-01-15 14:47:19,0,Нет поломки,0
2021-01-16 14:47:19,0,Нет поломки,0
2021-01-17 14:47:19,0,Нет поломки,0
2021-01-18 14:47:19,0,Нет поломки,0
2021-01-19 17:25:39,6,"Сбросной дроссель - №25, 26",1
2021-01-20 17:25:39,0,Нет поломки,0
2021-01-22 01:59:40,4,Тормозная пластина - №106,1
2021-01-23 01:59:40,0,Нет поломки,0
2021-01-24 01:59:40,0,Нет поломки,0
2021-01-25 01:59:40,0,Нет поломки,0
2021-01-26 01:59:40,0,Нет поломки,0
2021-01-27 01:59:40,0,Нет поломки,0
2021-01-28 01:59:40,0,Нет поломки,0
2021-01-29 01:59:40,0,Нет поломки,0
2021-01-30 01:59:40,0,Нет поломки,0
2021-01-31 01:59:40,0,Нет поломки,0
2021-02-01 01:59:40,0,Нет поломки,0
2021-02-02 01:59:40,0,Нет поломки,0
2021-02-03 01:59:40,0,Нет поломки,0
2021-02-04 01:59:40,0,Нет поломки,0
2021-02-05 01:59:40,0,Нет поломки,0
2021-02-06 01:59:40,0,Нет поломки,0
2021-02-07 01:59:40,0,Нет поломки,0
2021-02-08 12:12:56,3,Тормозная пластина - №43,1
2021-02-08 12:54:18,3,Сбросной дроссель - №43,1
2021-02-09 04:12:26,3,Дроссель CO2 - №5,1
2021-02-10 04:12:26,0,Нет поломки,0
2021-02-11 04:12:26,0,Нет поломки,0
2021-02-12 04:12:26,0,Нет поломки,0
2021-02-13 04:12:26,0,Нет поломки,0
2021-02-14 04:12:26,0,Нет поломки,0
2021-02-15 04:12:26,0,Нет поломки,0
2021-02-16 04:12:26,0,Нет поломки,0
2021-02-17 04:12:26,0,Нет поломки,0
2021-02-18 04:12:26,0,Нет поломки,0
2021-02-19 04:12:26,0,Нет поломки,0
2021-02-20 04:12:26,0,Нет поломки,0
2021-02-21 04:12:26,0,Нет поломки,0
2021-02-22 04:12:26,0,Нет поломки,0
2021-02-23 20:08:59,3,"Сбросные дроссели - №79, 38",1
2021-02-24 20:08:59,0,Нет поломки,0
2021-02-25 20:08:59,0,Нет поломки,0
2021-02-26 20:08:59,0,Нет поломки,0
2021-02-27 20:08:59,0,Нет поломки,0
2021-02-28 20:08:59,0,Нет поломки,0
2021-03-01 20:08:59,0,Нет поломки,0
2021-03-02 20:08:59,0,Нет поломки,0
2021-03-03 20:08:59,0,Нет поломки,0
2021-03-04 20:08:59,0,Нет поломки,0
2021-03-05 20:08:59,0,Нет поломки,0
2021-03-06 20:08:59,0,Нет поломки,0
2021-03-07 20:08:59,0,Нет поломки,0
2021-03-08 20:08:59,0,Нет поломки,0
2021-03-09 20:08:59,0,Нет поломки,0
2021-03-10 20:08:59,0,Нет поломки,0
2021-03-11 20:08:59,0,Нет поломки,0
2021-03-12 20:08:59,0,Нет поломки,0
2021-03-13 20:08:59,0,Нет поломки,0
2021-03-15 10:59:48,2,Углекислотный дроссель нагнетания - №57,1
2021-03-16 10:59:48,0,Нет поломки,0
2021-03-17 10:59:48,0,Нет поломки,0
2021-03-18 10:59:48,0,Нет поломки,0
2021-03-19 10:59:48,0,Нет поломки,0
2021-03-20 10:59:48,0,Нет поломки,0
2021-03-21 10:59:48,0,Нет поломки,0
2021-03-23 08:13:25,3,Углекислотный дроссель нагнетания - №51,1
2021-03-23 08:17:47,9,-,1
2021-03-23 17:18:14,5,Углекислотный дроссель нагнетания - №1,1
2021-03-24 17:18:14,0,Нет поломки,0
2021-03-25 17:18:14,0,Нет поломки,0
2021-03-26 17:18:14,0,Нет поломки,0
2021-03-27 17:18:14,0,Нет поломки,0
2021-03-28 17:18:14,0,Нет поломки,0
2021-03-29 17:18:14,0,Нет поломки,0
2021-03-30 17:18:14,0,Нет поломки,0
2021-03-31 17:18:14,0,Нет поломки,0
2021-04-01 17:18:14,0,Нет поломки,0
2021-04-02 17:18:14,0,Нет поломки,0
2021-04-03 17:18:14,0,Нет поломки,0
2021-04-04 17:18:14,0,Нет поломки,0
